Protein Accession	DNA Accession	ARO Category Name	ARO Accession
ADY02554.1	HQ833651	antibiotic inactivation enzyme	ARO:3000557
ADY02554.1	HQ833651	beta-lactam resistance gene	ARO:3000129
ADZ31262.1	HQ913565	antibiotic inactivation enzyme	ARO:3000557
ADZ31262.1	HQ913565	beta-lactam resistance gene	ARO:3000129
AEM44650.1	JF274244	antibiotic inactivation enzyme	ARO:3000557
AEM44650.1	JF274244	beta-lactam resistance gene	ARO:3000129
AEM44651.1	JF274245	antibiotic inactivation enzyme	ARO:3000557
AEM44651.1	JF274245	beta-lactam resistance gene	ARO:3000129
AEM44654.1	JF274248	antibiotic inactivation enzyme	ARO:3000557
AEM44654.1	JF274248	beta-lactam resistance gene	ARO:3000129
AAF93177.1	AY005110	antibiotic inactivation enzyme	ARO:3000557
AAF93177.1	AY005110	beta-lactam resistance gene	ARO:3000129
AEM44648.1	JF274242	antibiotic inactivation enzyme	ARO:3000557
AEM44648.1	JF274242	beta-lactam resistance gene	ARO:3000129
AEM44649.1	JF274243	antibiotic inactivation enzyme	ARO:3000557
AEM44649.1	JF274243	beta-lactam resistance gene	ARO:3000129
AEM44652.1	JF274246	antibiotic inactivation enzyme	ARO:3000557
AEM44652.1	JF274246	beta-lactam resistance gene	ARO:3000129
AEM44653.1	JF274247	antibiotic inactivation enzyme	ARO:3000557
AEM44653.1	JF274247	beta-lactam resistance gene	ARO:3000129
ACU00153.1	GQ351346	antibiotic inactivation enzyme	ARO:3000557
ACU00153.1	GQ351346	beta-lactam resistance gene	ARO:3000129
AIL54055.1	KJ911020	antibiotic inactivation enzyme	ARO:3000557
AIL54055.1	KJ911020	beta-lactam resistance gene	ARO:3000129
AEI70324.1	JF966749	antibiotic inactivation enzyme	ARO:3000557
AEI70324.1	JF966749	beta-lactam resistance gene	ARO:3000129
AET99223.1	JN227085	antibiotic inactivation enzyme	ARO:3000557
AET99223.1	JN227085	beta-lactam resistance gene	ARO:3000129
AAG34108.1	AF305837	antibiotic inactivation enzyme	ARO:3000557
AAG34108.1	AF305837	beta-lactam resistance gene	ARO:3000129
AFA51699.1	JN790862	antibiotic inactivation enzyme	ARO:3000557
AFA51699.1	JN790862	beta-lactam resistance gene	ARO:3000129
AFA51700.1	JN790863	antibiotic inactivation enzyme	ARO:3000557
AFA51700.1	JN790863	beta-lactam resistance gene	ARO:3000129
AFA51701.1	JN790864	antibiotic inactivation enzyme	ARO:3000557
AFA51701.1	JN790864	beta-lactam resistance gene	ARO:3000129
AFH88134.1	JQ429324	antibiotic inactivation enzyme	ARO:3000557
AFH88134.1	JQ429324	beta-lactam resistance gene	ARO:3000129
AFO69261.1	JQ724542	antibiotic inactivation enzyme	ARO:3000557
AFO69261.1	JQ724542	beta-lactam resistance gene	ARO:3000129
BAL72196.1	AB703103	antibiotic inactivation enzyme	ARO:3000557
BAL72196.1	AB703103	beta-lactam resistance gene	ARO:3000129
AFJ59956.1	JX017364	antibiotic inactivation enzyme	ARO:3000557
AFJ59956.1	JX017364	beta-lactam resistance gene	ARO:3000129
AAF72531.1	AF252623	antibiotic inactivation enzyme	ARO:3000557
AAF72531.1	AF252623	beta-lactam resistance gene	ARO:3000129
AFJ59957.1	JX017365	antibiotic inactivation enzyme	ARO:3000557
AFJ59957.1	JX017365	beta-lactam resistance gene	ARO:3000129
AEW46676.2	JN969893	antibiotic inactivation enzyme	ARO:3000557
AEW46676.2	JN969893	beta-lactam resistance gene	ARO:3000129
AFQ94051.1	JX313020	antibiotic inactivation enzyme	ARO:3000557
AFQ94051.1	JX313020	beta-lactam resistance gene	ARO:3000129
AFX60298.1	JX896165	antibiotic inactivation enzyme	ARO:3000557
AFX60298.1	JX896165	beta-lactam resistance gene	ARO:3000129
AGG08693.1	KC351754	antibiotic inactivation enzyme	ARO:3000557
AGG08693.1	KC351754	beta-lactam resistance gene	ARO:3000129
BAO37256.1	AB900900	antibiotic inactivation enzyme	ARO:3000557
BAO37256.1	AB900900	beta-lactam resistance gene	ARO:3000129
AFY98865.1	KC107824	antibiotic inactivation enzyme	ARO:3000557
AFY98865.1	KC107824	beta-lactam resistance gene	ARO:3000129
AAF72530.1	AF252622	antibiotic inactivation enzyme	ARO:3000557
AAF72530.1	AF252622	beta-lactam resistance gene	ARO:3000129
AGN11769.1	KC964871	antibiotic inactivation enzyme	ARO:3000557
AGN11769.1	KC964871	beta-lactam resistance gene	ARO:3000129
AGW25368.1	KF240809	antibiotic inactivation enzyme	ARO:3000557
AGW25368.1	KF240809	beta-lactam resistance gene	ARO:3000129
AHX39588.1	KJ020573	antibiotic inactivation enzyme	ARO:3000557
AHX39588.1	KJ020573	beta-lactam resistance gene	ARO:3000129
AHA80961.1	KF513180	antibiotic inactivation enzyme	ARO:3000557
AHA80961.1	KF513180	beta-lactam resistance gene	ARO:3000129
AHX39589.1	KJ020574	antibiotic inactivation enzyme	ARO:3000557
AHX39589.1	KJ020574	beta-lactam resistance gene	ARO:3000129
AAL02127.1	AY044436	antibiotic inactivation enzyme	ARO:3000557
AAL02127.1	AY044436	beta-lactam resistance gene	ARO:3000129
BAP34782.1	AB916359	antibiotic inactivation enzyme	ARO:3000557
BAP34782.1	AB916359	beta-lactam resistance gene	ARO:3000129
AHY20039.1	KJ461948	antibiotic inactivation enzyme	ARO:3000557
AHY20039.1	KJ461948	beta-lactam resistance gene	ARO:3000129
AIS67611.1	KM211508	antibiotic inactivation enzyme	ARO:3000557
AIS67611.1	KM211508	beta-lactam resistance gene	ARO:3000129
AIS67612.1	KM211509	antibiotic inactivation enzyme	ARO:3000557
AIS67612.1	KM211509	beta-lactam resistance gene	ARO:3000129
AIS67613.1	KM211510	antibiotic inactivation enzyme	ARO:3000557
AIS67613.1	KM211510	beta-lactam resistance gene	ARO:3000129
AIT97310.1	KM211691	antibiotic inactivation enzyme	ARO:3000557
AIT97310.1	KM211691	beta-lactam resistance gene	ARO:3000129
AJO16046.1	KP050493	antibiotic inactivation enzyme	ARO:3000557
AJO16046.1	KP050493	beta-lactam resistance gene	ARO:3000129
AAK32961.1	AY029068	antibiotic inactivation enzyme	ARO:3000557
AAK32961.1	AY029068	beta-lactam resistance gene	ARO:3000129
AJU57235.1	KP128034	antibiotic inactivation enzyme	ARO:3000557
AJU57235.1	KP128034	beta-lactam resistance gene	ARO:3000129
AAK71471.1	AY033516	antibiotic inactivation enzyme	ARO:3000557
AAK71471.1	AY033516	beta-lactam resistance gene	ARO:3000129
AAK55534.1	AF325134	antibiotic inactivation enzyme	ARO:3000557
AAK55534.1	AF325134	beta-lactam resistance gene	ARO:3000129
AAZ95872.1	DQ125241	antibiotic inactivation enzyme	ARO:3000557
AAZ95872.1	DQ125241	beta-lactam resistance gene	ARO:3000129
CAC95175.1	AJ416344	antibiotic inactivation enzyme	ARO:3000557
CAC95175.1	AJ416344	beta-lactam resistance gene	ARO:3000129
CAD08929.1	AJ416346	antibiotic inactivation enzyme	ARO:3000557
CAD08929.1	AJ416346	beta-lactam resistance gene	ARO:3000129
AAL86924.1	AY080894	antibiotic inactivation enzyme	ARO:3000557
AAL86924.1	AY080894	beta-lactam resistance gene	ARO:3000129
AAL99990.1	AF488377	antibiotic inactivation enzyme	ARO:3000557
AAL99990.1	AF488377	beta-lactam resistance gene	ARO:3000129
AAN38836.1	AY143430	antibiotic inactivation enzyme	ARO:3000557
AAN38836.1	AY143430	beta-lactam resistance gene	ARO:3000129
AAM70498.1	AF518567	antibiotic inactivation enzyme	ARO:3000557
AAM70498.1	AF518567	beta-lactam resistance gene	ARO:3000129
AAN75444.1	AY157676	antibiotic inactivation enzyme	ARO:3000557
AAN75444.1	AY157676	beta-lactam resistance gene	ARO:3000129
AAO61597.1	AY156923	antibiotic inactivation enzyme	ARO:3000557
AAO61597.1	AY156923	beta-lactam resistance gene	ARO:3000129
CAD70280.1	AJ549244	antibiotic inactivation enzyme	ARO:3000557
CAD70280.1	AJ549244	beta-lactam resistance gene	ARO:3000129
AAP22736.1	AY267213	antibiotic inactivation enzyme	ARO:3000557
AAP22736.1	AY267213	beta-lactam resistance gene	ARO:3000129
CAA71321.1	Y10278	antibiotic inactivation enzyme	ARO:3000557
CAA71321.1	Y10278	beta-lactam resistance gene	ARO:3000129
AAP43508.1	AY292654	antibiotic inactivation enzyme	ARO:3000557
AAP43508.1	AY292654	beta-lactam resistance gene	ARO:3000129
CAD99181.1	AJ567481	antibiotic inactivation enzyme	ARO:3000557
CAD99181.1	AJ567481	beta-lactam resistance gene	ARO:3000129
CAD89606.1	AJ557142	antibiotic inactivation enzyme	ARO:3000557
CAD89606.1	AJ557142	beta-lactam resistance gene	ARO:3000129
AAO88912.1	AY238472	antibiotic inactivation enzyme	ARO:3000557
AAO88912.1	AY238472	beta-lactam resistance gene	ARO:3000129
AAR99493.1	AY515297	antibiotic inactivation enzyme	ARO:3000557
AAR99493.1	AY515297	beta-lactam resistance gene	ARO:3000129
BAD83775.1	AB176534	antibiotic inactivation enzyme	ARO:3000557
BAD83775.1	AB176534	beta-lactam resistance gene	ARO:3000129
BAD16611.1	AB177384	antibiotic inactivation enzyme	ARO:3000557
BAD16611.1	AB177384	beta-lactam resistance gene	ARO:3000129
AAT70415.1	AY649755	antibiotic inactivation enzyme	ARO:3000557
AAT70415.1	AY649755	beta-lactam resistance gene	ARO:3000129
AAV70602.1	AY822595	antibiotic inactivation enzyme	ARO:3000557
AAV70602.1	AY822595	beta-lactam resistance gene	ARO:3000129
AAX54694.1	AY954516	antibiotic inactivation enzyme	ARO:3000557
AAX54694.1	AY954516	beta-lactam resistance gene	ARO:3000129
CAA74573.1	Y14156	antibiotic inactivation enzyme	ARO:3000557
CAA74573.1	Y14156	beta-lactam resistance gene	ARO:3000129
AAV28215.1	AY750914	antibiotic inactivation enzyme	ARO:3000557
AAV28215.1	AY750914	beta-lactam resistance gene	ARO:3000129
AAY43008.1	DQ023162	antibiotic inactivation enzyme	ARO:3000557
AAY43008.1	DQ023162	beta-lactam resistance gene	ARO:3000129
AAY84742.1	DQ061159	antibiotic inactivation enzyme	ARO:3000557
AAY84742.1	DQ061159	beta-lactam resistance gene	ARO:3000129
AAZ14955.1	DQ102702	antibiotic inactivation enzyme	ARO:3000557
AAZ14955.1	DQ102702	beta-lactam resistance gene	ARO:3000129
BAA07082.1	D37830	antibiotic inactivation enzyme	ARO:3000557
BAA07082.1	D37830	beta-lactam resistance gene	ARO:3000129
BAA28282.1	D89862	antibiotic inactivation enzyme	ARO:3000557
BAA28282.1	D89862	beta-lactam resistance gene	ARO:3000129
AAV97956.1	AY847147	antibiotic inactivation enzyme	ARO:3000557
AAV97956.1	AY847147	beta-lactam resistance gene	ARO:3000129
AAV97952.1	AY847143	antibiotic inactivation enzyme	ARO:3000557
AAV97952.1	AY847143	beta-lactam resistance gene	ARO:3000129
AAV97953.1	AY847144	antibiotic inactivation enzyme	ARO:3000557
AAV97953.1	AY847144	beta-lactam resistance gene	ARO:3000129
AAV97954.1	AY847145	antibiotic inactivation enzyme	ARO:3000557
AAV97954.1	AY847145	beta-lactam resistance gene	ARO:3000129
AAC32890.1	U95364	antibiotic inactivation enzyme	ARO:3000557
AAC32890.1	U95364	beta-lactam resistance gene	ARO:3000129
AAV97955.1	AY847146	antibiotic inactivation enzyme	ARO:3000557
AAV97955.1	AY847146	beta-lactam resistance gene	ARO:3000129
ABA62022.1	DQ211987	antibiotic inactivation enzyme	ARO:3000557
ABA62022.1	DQ211987	beta-lactam resistance gene	ARO:3000129
ABB17185.1	DQ223685	antibiotic inactivation enzyme	ARO:3000557
ABB17185.1	DQ223685	beta-lactam resistance gene	ARO:3000129
ABB72225.1	DQ268764	antibiotic inactivation enzyme	ARO:3000557
ABB72225.1	DQ268764	beta-lactam resistance gene	ARO:3000129
ABC18328.3	DQ303459	antibiotic inactivation enzyme	ARO:3000557
ABC18328.3	DQ303459	beta-lactam resistance gene	ARO:3000129
ABI34705.1	DQ885477	antibiotic inactivation enzyme	ARO:3000557
ABI34705.1	DQ885477	beta-lactam resistance gene	ARO:3000129
ABN48311.1	EF374097	antibiotic inactivation enzyme	ARO:3000557
ABN48311.1	EF374097	beta-lactam resistance gene	ARO:3000129
ABM97538.1	EF210159	antibiotic inactivation enzyme	ARO:3000557
ABM97538.1	EF210159	beta-lactam resistance gene	ARO:3000129
ABD73290.1	DQ408762	antibiotic inactivation enzyme	ARO:3000557
ABD73290.1	DQ408762	beta-lactam resistance gene	ARO:3000129
CAA06311.1	AJ005044	antibiotic inactivation enzyme	ARO:3000557
CAA06311.1	AJ005044	beta-lactam resistance gene	ARO:3000129
CAL80726.1	AM411407	antibiotic inactivation enzyme	ARO:3000557
CAL80726.1	AM411407	beta-lactam resistance gene	ARO:3000129
ABN09669.1	EF219142	antibiotic inactivation enzyme	ARO:3000557
ABN09669.1	EF219142	beta-lactam resistance gene	ARO:3000129
ABP04245.1	EF219134	antibiotic inactivation enzyme	ARO:3000557
ABP04245.1	EF219134	beta-lactam resistance gene	ARO:3000129
BAD90119.1	AB205197	antibiotic inactivation enzyme	ARO:3000557
BAD90119.1	AB205197	beta-lactam resistance gene	ARO:3000129
BAF63422.1	AB284167	antibiotic inactivation enzyme	ARO:3000557
BAF63422.1	AB284167	beta-lactam resistance gene	ARO:3000129
ABN69105.1	EF418608	antibiotic inactivation enzyme	ARO:3000557
ABN69105.1	EF418608	beta-lactam resistance gene	ARO:3000129
ABQ45409.1	EF576988	antibiotic inactivation enzyme	ARO:3000557
ABQ45409.1	EF576988	beta-lactam resistance gene	ARO:3000129
ABS90365.1	EF581888	antibiotic inactivation enzyme	ARO:3000557
ABS90365.1	EF581888	beta-lactam resistance gene	ARO:3000129
ABV81082.1	EU177100	antibiotic inactivation enzyme	ARO:3000557
ABV81082.1	EU177100	beta-lactam resistance gene	ARO:3000129
ABY91281.1	EU402393	antibiotic inactivation enzyme	ARO:3000557
ABY91281.1	EU402393	beta-lactam resistance gene	ARO:3000129
CAA06312.1	AJ005045	antibiotic inactivation enzyme	ARO:3000557
CAA06312.1	AJ005045	beta-lactam resistance gene	ARO:3000129
ACV92002.1	FJ815436	antibiotic inactivation enzyme	ARO:3000557
ACV92002.1	FJ815436	beta-lactam resistance gene	ARO:3000129
AAV97957.1	AY847148	antibiotic inactivation enzyme	ARO:3000557
AAV97957.1	AY847148	beta-lactam resistance gene	ARO:3000129
ACS32293.1	GQ149243	antibiotic inactivation enzyme	ARO:3000557
ACS32293.1	GQ149243	beta-lactam resistance gene	ARO:3000129
ACS32294.1	GQ149244	antibiotic inactivation enzyme	ARO:3000557
ACS32294.1	GQ149244	beta-lactam resistance gene	ARO:3000129
CAQ42486.1	AM982520	antibiotic inactivation enzyme	ARO:3000557
CAQ42486.1	AM982520	beta-lactam resistance gene	ARO:3000129
CAQ42480.1	AM982521	antibiotic inactivation enzyme	ARO:3000557
CAQ42480.1	AM982521	beta-lactam resistance gene	ARO:3000129
CAQ42481.2	AM982522	antibiotic inactivation enzyme	ARO:3000557
CAQ42481.2	AM982522	beta-lactam resistance gene	ARO:3000129
ABO09821.1	EF426798	antibiotic inactivation enzyme	ARO:3000557
ABO09821.1	EF426798	beta-lactam resistance gene	ARO:3000129
AAF04388.1	AF189721	antibiotic inactivation enzyme	ARO:3000557
AAF04388.1	AF189721	beta-lactam resistance gene	ARO:3000129
ABW86620.2	EU202673	antibiotic inactivation enzyme	ARO:3000557
ABW86620.2	EU202673	beta-lactam resistance gene	ARO:3000129
ABV57756.3	EU136031	antibiotic inactivation enzyme	ARO:3000557
ABV57756.3	EU136031	beta-lactam resistance gene	ARO:3000129
ABB59946.1	DQ256091	antibiotic inactivation enzyme	ARO:3000557
ABB59946.1	DQ256091	beta-lactam resistance gene	ARO:3000129
ACI29345.1	FJ214366	antibiotic inactivation enzyme	ARO:3000557
ACI29345.1	FJ214366	beta-lactam resistance gene	ARO:3000129
ACI29346.1	FJ214367	antibiotic inactivation enzyme	ARO:3000557
ACI29346.1	FJ214367	beta-lactam resistance gene	ARO:3000129
ACI29347.1	FJ214368	antibiotic inactivation enzyme	ARO:3000557
ACI29347.1	FJ214368	beta-lactam resistance gene	ARO:3000129
ACI29348.1	FJ214369	antibiotic inactivation enzyme	ARO:3000557
ACI29348.1	FJ214369	beta-lactam resistance gene	ARO:3000129
ACB41777.1	EU545409	antibiotic inactivation enzyme	ARO:3000557
ACB41777.1	EU545409	beta-lactam resistance gene	ARO:3000129
ACP18863.1	FJ873739	antibiotic inactivation enzyme	ARO:3000557
ACP18863.1	FJ873739	beta-lactam resistance gene	ARO:3000129
ACR56321.1	FJ971899	antibiotic inactivation enzyme	ARO:3000557
ACR56321.1	FJ971899	beta-lactam resistance gene	ARO:3000129
AAF05311.2	AF174129	antibiotic inactivation enzyme	ARO:3000557
AAF05311.2	AF174129	beta-lactam resistance gene	ARO:3000129
ACQ99521.1	FJ907381	antibiotic inactivation enzyme	ARO:3000557
ACQ99521.1	FJ907381	beta-lactam resistance gene	ARO:3000129
ACX34099.1	GQ870432	antibiotic inactivation enzyme	ARO:3000557
ACX34099.1	GQ870432	beta-lactam resistance gene	ARO:3000129
ACY74743.1	GU127598	antibiotic inactivation enzyme	ARO:3000557
ACY74743.1	GU127598	beta-lactam resistance gene	ARO:3000129
ADN26580.1	HQ166709	antibiotic inactivation enzyme	ARO:3000557
ADN26580.1	HQ166709	beta-lactam resistance gene	ARO:3000129
ADK11041.1	HM167760	antibiotic inactivation enzyme	ARO:3000557
ADK11041.1	HM167760	beta-lactam resistance gene	ARO:3000129
CBL80615.1	FN813245	antibiotic inactivation enzyme	ARO:3000557
CBL80615.1	FN813245	beta-lactam resistance gene	ARO:3000129
CAG28417.1	AJ704396	antibiotic inactivation enzyme	ARO:3000557
CAG28417.1	AJ704396	beta-lactam resistance gene	ARO:3000129
ADO17948.1	HM755448	antibiotic inactivation enzyme	ARO:3000557
ADO17948.1	HM755448	beta-lactam resistance gene	ARO:3000129
ADL27532.1	HM803271	antibiotic inactivation enzyme	ARO:3000557
ADL27532.1	HM803271	beta-lactam resistance gene	ARO:3000129
WP_003096511.1	NC_008463.1	aminoglycoside resistance gene	ARO:3000104
AAN62561.1	AY168442.1	gene conferring antibiotic resistance via molecular bypass	ARO:3000012
AAN62561.1	AY168442.1	glycopeptide resistance gene	ARO:3000494
AAC68679.1	AF079762.1	gene involved in self resistance to antibiotic	ARO:3000492
YP_001715373.1	NC_010410	antibiotic target replacement protein	ARO:3000381
YP_001715373.1	NC_010410	trimethoprim resistance gene	ARO:3001217
AHG97174.1	KF976462	antibiotic target replacement protein	ARO:3000381
AHG97174.1	KF976462	trimethoprim resistance gene	ARO:3001217
AHW42429.1	KJ363320	antibiotic target replacement protein	ARO:3000381
AHW42429.1	KJ363320	trimethoprim resistance gene	ARO:3001217
CAA90683.1	Z50802	antibiotic target replacement protein	ARO:3000381
CAA90683.1	Z50802	trimethoprim resistance gene	ARO:3001217
ACI32877.1	EU780012	antibiotic target replacement protein	ARO:3000381
ACI32877.1	EU780012	trimethoprim resistance gene	ARO:3001217
AHB39758.1	KF534911	antibiotic target replacement protein	ARO:3000381
AHB39758.1	KF534911	trimethoprim resistance gene	ARO:3001217
AAK60186.1	AF174129	antibiotic target replacement protein	ARO:3000381
AAK60186.1	AF174129	trimethoprim resistance gene	ARO:3001217
ABG91835.1	DQ838665	antibiotic target replacement protein	ARO:3000381
ABG91835.1	DQ838665	trimethoprim resistance gene	ARO:3001217
CAC81324.1	AJ310778	antibiotic target replacement protein	ARO:3000381
CAC81324.1	AJ310778	trimethoprim resistance gene	ARO:3001217
CAE53424.1	AJ605332	antibiotic target replacement protein	ARO:3000381
CAE53424.1	AJ605332	trimethoprim resistance gene	ARO:3001217
CAP69659.1	AM932669	antibiotic target replacement protein	ARO:3000381
CAP69659.1	AM932669	trimethoprim resistance gene	ARO:3001217
CAX16467.1	FM957884	antibiotic target replacement protein	ARO:3000381
CAX16467.1	FM957884	trimethoprim resistance gene	ARO:3001217
CAG34233.2	AJ746361	antibiotic target replacement protein	ARO:3000381
CAG34233.2	AJ746361	trimethoprim resistance gene	ARO:3001217
CAI99385.1	AJ972619	antibiotic target replacement protein	ARO:3000381
CAI99385.1	AJ972619	trimethoprim resistance gene	ARO:3001217
ABB71176.1	DQ267940	antibiotic target replacement protein	ARO:3000381
ABB71176.1	DQ267940	trimethoprim resistance gene	ARO:3001217
CAL48457.1	AM403715	antibiotic target replacement protein	ARO:3000381
CAL48457.1	AM403715	trimethoprim resistance gene	ARO:3001217
AAA25550.1	J03306	antibiotic target replacement protein	ARO:3000381
AAA25550.1	J03306	trimethoprim resistance gene	ARO:3001217
ABB89122.1	DQ278190	antibiotic target replacement protein	ARO:3000381
ABB89122.1	DQ278190	trimethoprim resistance gene	ARO:3001217
ACS44716.1	FJ854362	antibiotic target replacement protein	ARO:3000381
ACS44716.1	FJ854362	trimethoprim resistance gene	ARO:3001217
AHV80711.1	KJ174469	antibiotic target replacement protein	ARO:3000381
AHV80711.1	KJ174469	trimethoprim resistance gene	ARO:3001217
AAN41433.1	AY139601	antibiotic target replacement protein	ARO:3000381
AAN41433.1	AY139601	trimethoprim resistance gene	ARO:3001217
FAA00064.1	BR000038	antibiotic target replacement protein	ARO:3000381
FAA00064.1	BR000038	trimethoprim resistance gene	ARO:3001217
ACR57831.1	GQ150744	antibiotic target replacement protein	ARO:3000381
ACR57831.1	GQ150744	trimethoprim resistance gene	ARO:3001217
ADO00942.1	GU060319	antibiotic target replacement protein	ARO:3000381
ADO00942.1	GU060319	trimethoprim resistance gene	ARO:3001217
AAO04716.1	AE015929	antibiotic target replacement protein	ARO:3000381
AAO04716.1	AE015929	trimethoprim resistance gene	ARO:3001217
AAA85213.1	U43152	antibiotic target replacement protein	ARO:3000381
AAA85213.1	U43152	trimethoprim resistance gene	ARO:3001217
AAD01867.1	AF028811	antibiotic target replacement protein	ARO:3000381
AAD01867.1	AF028811	trimethoprim resistance gene	ARO:3001217
AAD01868.1	AF028812	antibiotic target replacement protein	ARO:3000381
AAD01868.1	AF028812	trimethoprim resistance gene	ARO:3001217
BAE15963.1	AB205645	antibiotic target replacement protein	ARO:3000381
BAE15963.1	AB205645	trimethoprim resistance gene	ARO:3001217
CBL80435.1	FN812951	antibiotic target replacement protein	ARO:3000381
CBL80435.1	FN812951	trimethoprim resistance gene	ARO:3001217
CAA76196.1	Y16410	antibiotic inactivation enzyme	ARO:3000557
CAA76196.1	Y16410	beta-lactam resistance gene	ARO:3000129
AJO16043.1	KP050490	antibiotic inactivation enzyme	ARO:3000557
AJO16043.1	KP050490	beta-lactam resistance gene	ARO:3000129
CDL68900.1	HG798963	antibiotic inactivation enzyme	ARO:3000557
CDL68900.1	HG798963	beta-lactam resistance gene	ARO:3000129
AIT76108.1	KM087855	antibiotic inactivation enzyme	ARO:3000557
AIT76108.1	KM087855	beta-lactam resistance gene	ARO:3000129
AIT76107.1	KM087854	antibiotic inactivation enzyme	ARO:3000557
AIT76107.1	KM087854	beta-lactam resistance gene	ARO:3000129
AIT76106.1	KM087853	antibiotic inactivation enzyme	ARO:3000557
AIT76106.1	KM087853	beta-lactam resistance gene	ARO:3000129
AIT76105.1	KM087852	antibiotic inactivation enzyme	ARO:3000557
AIT76105.1	KM087852	beta-lactam resistance gene	ARO:3000129
AIT76103.1	KM087850	antibiotic inactivation enzyme	ARO:3000557
AIT76103.1	KM087850	beta-lactam resistance gene	ARO:3000129
AIT76094.1	KM087841	antibiotic inactivation enzyme	ARO:3000557
AIT76094.1	KM087841	beta-lactam resistance gene	ARO:3000129
AIT76102.1	KM087849	antibiotic inactivation enzyme	ARO:3000557
AIT76102.1	KM087849	beta-lactam resistance gene	ARO:3000129
AAG36927.1	AF259520	antibiotic inactivation enzyme	ARO:3000557
AAG36927.1	AF259520	beta-lactam resistance gene	ARO:3000129
AIT76101.1	KM087848	antibiotic inactivation enzyme	ARO:3000557
AIT76101.1	KM087848	beta-lactam resistance gene	ARO:3000129
AIT76100.1	KM087847	antibiotic inactivation enzyme	ARO:3000557
AIT76100.1	KM087847	beta-lactam resistance gene	ARO:3000129
AIT76109.1	KM087856	antibiotic inactivation enzyme	ARO:3000557
AIT76109.1	KM087856	beta-lactam resistance gene	ARO:3000129
AAR87489.1	AY494945	antibiotic inactivation enzyme	ARO:3000557
AAR87489.1	AY494945	beta-lactam resistance gene	ARO:3000129
AEL22919.1	JF273491	antibiotic inactivation enzyme	ARO:3000557
AEL22919.1	JF273491	beta-lactam resistance gene	ARO:3000129
ADT91161.1	HQ322612	antibiotic inactivation enzyme	ARO:3000557
ADT91161.1	HQ322612	beta-lactam resistance gene	ARO:3000129
ADQ00385.1	HQ456945	antibiotic inactivation enzyme	ARO:3000557
ADQ00385.1	HQ456945	beta-lactam resistance gene	ARO:3000129
AGC92784.1	KC004136	antibiotic inactivation enzyme	ARO:3000557
AGC92784.1	KC004136	beta-lactam resistance gene	ARO:3000129
NP_217452.1	NC_000962.3	efflux pump conferring antibiotic resistance	ARO:3000159
NP_217453.1	NC_000962.3	efflux pump conferring antibiotic resistance	ARO:3000159
NP_217454.1	NC_000962.3	efflux pump conferring antibiotic resistance	ARO:3000159
AGQ48857.1	KF010779.1	efflux pump conferring antibiotic resistance	ARO:3000159
AAN32638.1	AF416700	antibiotic inactivation enzyme	ARO:3000557
AAN32638.1	AF416700	beta-lactam resistance gene	ARO:3000129
BAG75524.1	AB467372.1	efflux pump conferring antibiotic resistance	ARO:3000159
NP_217362.1	NC_000962.3	efflux pump conferring antibiotic resistance	ARO:3000159
CDO61513.1	HG970100.1	efflux pump conferring antibiotic resistance	ARO:3000159
CDO61516.1	HG970103.1	efflux pump conferring antibiotic resistance	ARO:3000159
BAC11911.1	AB091338	efflux pump conferring antibiotic resistance	ARO:3000159
BAA16547.1	AP009048	efflux pump conferring antibiotic resistance	ARO:3000159
AAC75733.1	U00096	efflux pump conferring antibiotic resistance	ARO:3000159
EFF04178.1	GG749185.1	efflux pump conferring antibiotic resistance	ARO:3000159
YP_488830.1	NC_007779	efflux pump conferring antibiotic resistance	ARO:3000159
BAA11236.1	D78168	efflux pump conferring antibiotic resistance	ARO:3000159
NP_417169.1	NC_000913.3	efflux pump conferring antibiotic resistance	ARO:3000159
NP_417169.1	NC_000913.3	gene modulating antibiotic efflux	ARO:3000451
BAA11237.1	D78168	efflux pump conferring antibiotic resistance	ARO:3000159
CAC35723.1	AJ306389.1	antibiotic resistant gene variant or mutant	ARO:0000031
CAC35723.1	AJ306389.1	efflux pump conferring antibiotic resistance	ARO:3000159
CAC35723.1	AJ306389.1	gene modulating antibiotic efflux	ARO:3000451
AAK11270.1	AF335467	antibiotic resistant gene variant or mutant	ARO:0000031
AAK11270.1	AF335467	beta-lactam resistance gene	ARO:3000129
AAK11270.1	AF335467	gene modulating permeability to antibiotic	ARO:3000270
AEA93051.1	CP002621.1	antibiotic resistant gene variant or mutant	ARO:0000031
NP_815496	NC_004668	antibiotic resistant gene variant or mutant	ARO:0000031
NP_815496	NC_004668	peptide antibiotic resistance gene	ARO:3000751
NP_815586	NC_004668	antibiotic resistant gene variant or mutant	ARO:0000031
NP_815586	NC_004668	peptide antibiotic resistance gene	ARO:3000751
WP_002389492	NZ_CP014949	antibiotic resistant gene variant or mutant	ARO:0000031
WP_002389492	NZ_CP014949	peptide antibiotic resistance gene	ARO:3000751
AAO82601.1	AE016830	antibiotic resistant gene variant or mutant	ARO:0000031
AAO82601.1	AE016830	lipopeptide antibiotic resistance gene	ARO:3003073
AAO82601.1	AE016830	peptide antibiotic resistance gene	ARO:3000751
NP_816529	NC_004668	antibiotic resistant gene variant or mutant	ARO:0000031
NP_816529	NC_004668	lipopeptide antibiotic resistance gene	ARO:3003073
NP_816529	NC_004668	peptide antibiotic resistance gene	ARO:3000751
